C,APD,AAPL,AIG,TFX,PSA,OXY,MTB,NOC
16.18499947,4.394080162,0.138951004,21.93523216,1.375,13.5,10.35903931,0.568750024,6.96447897
16.23687553,4.48080492,0.133928999,21.97119141,1.375,13.5,10.41891766,0.5625,7.058594227
16.23687553,4.365170956,0.127232,22.15098763,1.333333015,13,10.35903931,0.574999988,7.133884907
16.28874969,4.394080162,0.119419999,22.00715065,1.3125,13,10.41891766,0.625,7.11506319
16.28874969,4.40853405,0.123884,21.93523216,1.284721971,13.5,10.47879696,0.612500012,7.152708054
16.34062576,4.379624844,0.128347993,21.61159706,1.291666985,13.5,10.2392807,0.625,6.889187813
16.34062576,4.278446198,0.128905997,21.50371933,1.270833015,14,10.53867626,0.625,6.908010006
16.28874969,4.162812233,0.128905997,20.60473442,1.236111045,14.25,10.59855366,0.625,6.926833153
16.28874969,4.018270016,0.122768,20.56877518,1.236111045,14.25,10.47879696,0.637499988,6.889187813
16.28874969,3.945998907,0.122210003,20.56877518,1.243056059,14.25,10.41891766,0.662500024,6.889187813
16.34062576,4.018270016,0.118303999,20.89240837,1.277778029,14.25,10.59855366,0.662500024,6.926833153
16.34062576,4.003816128,0.117187999,21.00028801,1.243056059,14.25,10.35903931,0.662500024,7.002124786
16.44437408,3.974906921,0.114955001,21.50371933,1.243056059,14.25,9.939887047,0.662500024,6.96447897
16.49625015,3.989362001,0.117187999,21.97119141,1.222221971,14,9.58061409,0.662500024,6.96447897
16.54812431,3.989362001,0.122768,22.00715065,1.215278029,14.25,9.520734787,0.662500024,6.96447897
16.34062576,3.989362001,0.114955001,22.00715065,1.243056059,14,9.520734787,0.65625,6.569198132
16.34062576,4.379624844,0.108817004,22.07906914,1.277778029,14.25,9.520734787,0.649999976,6.512729168
16.34062576,4.33626318,0.110491,22.11502838,1.291666985,14.25,9.520734787,0.668749988,6.512729168
16.39249992,4.379624844,0.107143,22.15098763,1.361111045,14,9.400978088,0.662500024,6.098625183
16.60000038,4.365170956,0.113280997,22.07906914,1.458333015,14,9.16146183,0.65625,6.004509926
16.70375061,4.350717068,0.114955001,22.15098763,1.493056059,13.75,9.281220436,0.637499988,6.004509926
16.65187454,4.33626318,0.119419999,21.68351555,1.430556059,13.75,9.400978088,0.643750012,6.042156219
16.60000038,4.33626318,0.119419999,21.50371933,1.402778029,14,9.520734787,0.643750012,6.249207973
16.65187454,4.33626318,0.117746003,21.18008423,1.381943941,14,9.700371742,0.637499988,6.380969048
16.54812431,4.451896191,0.116628997,20.56877518,1.388888955,14,9.939887047,0.637499988,6.569198132
16.54812431,4.596437931,0.116071001,20.64069366,1.423611045,14,9.99976635,0.643750012,6.776249886
16.49625015,4.451896191,0.115512997,20.64069366,1.430556059,14,9.939887047,0.643750012,6.813896179
16.49625015,4.379624844,0.106027,20.82049179,1.430556059,14,9.820130348,0.637499988,7.002124786
16.28874969,4.379624844,0.101003997,21.57563782,1.416666985,14,9.880007744,0.625,7.002124786
16.34062576,4.379624844,0.097655997,22.07906914,1.409721971,14,9.820130348,0.625,7.002124786
16.34062576,4.394080162,0.101003997,21.71947479,1.423611045,13.75,9.880007744,0.625,7.077416897
16.39249992,4.538621902,0.099887997,21.28796387,1.416666985,13.75,9.880007744,0.625,7.11506319
16.44437408,4.639801025,0.104353003,21.0722065,1.430556059,14,9.760251045,0.625,7.002124786
16.44437408,4.625347137,0.109375,20.35301781,1.423611045,14,9.880007744,0.625,7.228000164
16.39249992,4.596437931,0.116071001,20.56877518,1.395833015,14,9.820130348,0.631250024,7.11506319
16.49625015,4.581984043,0.114396997,20.71261215,1.381943941,13.75,9.820130348,0.637499988,6.851541996
16.54812431,4.495258808,0.116071001,20.71261215,1.375,13.5,9.760251045,0.637499988,6.926833153
16.65187454,4.55307579,0.120536,20.56877518,1.361111045,13.5,9.760251045,0.637499988,6.889187813
16.80750084,4.48080492,0.119419999,20.64069366,1.368056059,13.5,9.760251045,0.637499988,7.152708054
16.91124916,4.610892773,0.117746003,21.00028801,1.388888955,13.5,9.760251045,0.637499988,7.529167175
17.17062569,4.610892773,0.114955001,21.0722065,1.395833015,13.5,9.700371742,0.643750012,7.359759808
17.17062569,4.712071896,0.111048996,21.03624725,1.375,13.25,9.939887047,0.643750012,7.340938091
16.70375061,4.596437931,0.111607,20.89240837,1.375,13.25,9.939887047,0.637499988,7.359759808
16.49625015,4.495258808,0.110491,20.82049179,1.375,12.5,9.820130348,0.637499988,7.340938091
16.60000038,4.567530155,0.108817004,20.78453064,1.381943941,12.75,9.700371742,0.643750012,7.303291798
16.60000038,4.82770586,0.118303999,20.53281593,1.416666985,12.75,9.58061409,0.649999976,7.228000164
16.60000038,4.914431095,0.118862003,20.20918083,1.423611045,12.75,9.760251045,0.643750012,7.265645981
16.49625015,4.943339825,0.116628997,20.06534386,1.402778029,12.75,9.820130348,0.643750012,7.284469128
16.39249992,4.943339825,0.115512997,19.92150688,1.416666985,12.75,9.58061409,0.649999976,7.416228771
16.60000038,4.914431095,0.121652,19.70574951,1.388888955,12.75,9.460857391,0.649999976,7.453875065
16.54812431,4.899977207,0.123326004,19.63382912,1.375,13,9.400978088,0.65625,7.397406101
16.54812431,4.914431095,0.125,19.27423668,1.493056059,13,9.281220436,0.649999976,7.322114944
16.70375061,5.145698071,0.125,19.38211441,1.590278029,13.25,9.281220436,0.649999976,7.303291798
